Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031826600,       1512446,             0,+41.6363517,-087.6230152
17031826700,       1114604,             0,+41.6362111,-087.6335585
17031826800,       7982604,             0,+41.6374213,-087.6600020
17031826901,       1310980,             0,+41.6210476,-087.6644798
17031826902,        704657,             0,+41.6148700,-087.6640081
17031827000,       1457388,             0,+41.6263396,-087.6451103
17031827100,       1611677,             0,+41.6180623,-087.6463602
17031827200,       3926603,             0,+41.6118076,-087.6268202
17031827300,       1631638,             0,+41.6090315,-087.6462207
17031827400,       2847409,             0,+41.6053771,-087.6659542
17031827500,       6868492,             0,+41.5924815,-087.6384982
17031827600,       2267259,             0,+41.5920480,-087.6641388
17031827700,       1368528,             0,+41.5824275,-087.6657556
17031827801,       2841127,             0,+41.6012285,-087.6081613
17031827802,       1833988,             0,+41.6007035,-087.5904331
17031827804,       1505326,         13483,+41.5896585,-087.5961218
17031827805,       2940322,         26894,+41.5826670,-087.6008070
17031827901,       4062695,             0,+41.5872119,-087.5720829
17031827902,       3874387,         31794,+41.5856200,-087.5451769
17031828000,       2546819,         15414,+41.5747111,-087.5418419
17031828100,       2360506,             0,+41.5634383,-087.5356135
17031828201,       3640050,         17675,+41.5699382,-087.5682443
17031828202,       2407807,             0,+41.5610701,-087.5658549
17031828300,      11599486,        208984,+41.5701448,-087.6128513
17031828401,       3787999,             0,+41.5679857,-087.6651958
17031828402,       3844108,         98667,+41.5681026,-087.6457349
17031828503,       9082890,        187438,+41.5027587,-087.5689506
17031828504,      10595856,         18847,+41.4811153,-087.5506588
17031828505,      12383897,         95195,+41.5444212,-087.5604695
17031828506,      11561795,        241634,+41.5213573,-087.5437031
17031828601,       2918067,             0,+41.5489586,-087.6608609
17031828602,       2334851,         14480,+41.5483245,-087.6446737
17031828701,       6792128,             0,+41.5431384,-087.6252653
17031828702,      11026904,             0,+41.5378384,-087.5990585
17031828801,       4306535,             0,+41.5342762,-087.6617452
17031828802,       1629730,             0,+41.5321711,-087.6427436
17031828900,       3194266,             0,+41.5161676,-087.6349519
17031829000,       2301597,             0,+41.5103438,-087.6234666
17031829100,       2621363,             0,+41.4966246,-087.6295075
17031829200,       2638717,             0,+41.5092569,-087.6483161
17031829301,       3270158,             0,+41.5183780,-087.6637780
17031829302,       1921013,             0,+41.5049432,-087.6662785
17031829401,       1098515,             0,+41.4969457,-087.6597612
17031829402,       5430540,         74374,+41.4825496,-087.6626555
17031829500,       5131068,         76032,+41.4847761,-087.6353134
17031829600,       1599832,             0,+41.4734425,-087.6331018
17031829700,      18459828,         10184,+41.4937314,-087.5987123
17031829800,       5213414,             0,+41.5425824,-087.6843326
17031829901,      13712239,         44690,+41.5496854,-087.7612409
17031829902,      12828652,        201091,+41.5395133,-087.7276252
17031830001,       2646907,         45220,+41.4953729,-087.7695480
17031830003,      10671747,             0,+41.5137032,-087.7705234
17031830004,       8423010,         24132,+41.5152520,-087.7286246
17031830005,       7007315,          9275,+41.5180627,-087.6928129
17031830006,       5768680,         38765,+41.5010591,-087.7242026
17031830007,       3827108,             0,+41.4816108,-087.7229092
17031830008,      11819374,         31490,+41.4797943,-087.7627335
17031830100,       1597025,             0,+41.5023717,-087.6877677
17031830201,       2905643,             0,+41.4834069,-087.7086325
17031830202,       3150255,         25898,+41.4919970,-087.6925217
17031830300,       2291777,             0,+41.4838564,-087.6810647
17031830400,       2439309,             0,+41.4748460,-087.6917917
17031830500,       3827804,        285796,+41.8291246,-087.7193198
17031830600,        661394,             0,+42.0016980,-087.6735738
17031830700,        860948,          7945,+41.9583016,-087.6606982
17031830800,        336531,             0,+41.9651413,-087.6765775
17031830900,       1037680,             0,+41.9286297,-087.6853728
17031831000,        281984,             0,+41.9147877,-087.6769994
17031831100,       1315157,             0,+41.9428559,-087.7174956
17031831200,        574942,             0,+41.9153189,-087.7322503
17031831300,        576175,             0,+41.9077661,-087.7442596
